,,,Museum,Order,Class,Family,Genus,Sp,Ssp,,Sex,Continent/Ocean,Country,State/Province,,,Locality,,,,Preservative,,,Life Stage,,,,,,,Year,Elevation,,,,,,,,,,,Day,Month,COLLECTOR,,
225143,12534,JBS,CAS,Reptilia,Sauria,Scincidae,Sphenomorphus,maculatus,,,M,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 39.9 N, 97 56 42.0 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,A. Moren,7-Apr-05,Adult,,1841 ft,,1437 hrs.  Under leaf litter.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 39.9 N, 97 56 42.0 E, 1841 ft",,2002,1841,,ft,27,24,39.9,N,97,56,42,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
225144,12540,JBS,CAS,Amphibia,Anura,Ranidae,Rana,limnocharis,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,H. Win,14-Aug-02,Adult,,1870 ft,,1912 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E, 1870 ft",,2002,1870,,ft,27,24,37,N,97,55,29.2,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
225145,12541,JBS,CAS,Amphibia,Anura,Ranidae,Rana,limnocharis,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,H. Win,14-Aug-02,Adult,,1870 ft,,1912 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E, 1870 ft",,2002,1870,,ft,27,24,37,N,97,55,29.2,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
225146,12542,JBS,CAS,Amphibia,Anura,Ranidae,Limnonectes,kuhlii,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,H. Win,14-Aug-02,,,1870 ft,,1912 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E, 1870 ft",,2002,1870,,ft,27,24,37,N,97,55,29.2,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
225147,12544,JBS,CAS,Amphibia,Anura,Ranidae,Limnonectes,kuhlii,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,H. Win,14-Aug-02,,,1870 ft,,1912 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E, 1870 ft",,2002,1870,,ft,27,24,37,N,97,55,29.2,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
225148,12545,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,H. Win,14-Aug-02,,,1870 ft,SVL 23.2 mm.,1912 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E, 1870 ft",,2002,1870,,ft,27,24,37,N,97,55,29.2,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
225149,12547,JBS,CAS,Amphibia,Anura,Pelobatidae,Megophrys,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,H. Win,14-Aug-02,Adult,,1870 ft,SVL 53.0 mm.,1912 hrs.  Calling on ground.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.0 N, 97 55 29.2 E, 1870 ft",,2002,1870,,ft,27,24,37,N,97,55,29.2,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
225150,12548,JBS,CAS,Amphibia,Anura,Rhacophoridae,Rhacophorus,bipunctatus,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.1 N, 97 55 03.6 E",K.S. Lwin and S.N. Sin,24-Apr-02,Alc,J.A. Wilkinson,4-Dec-03,Adult,,,SVL 35.7 mm.,2137 hrs.  Air temp. 71.4 F.  84% relative humidity.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.1 N, 97 55 03.6 E",,2002,,,,27,24,37.1,N,97,55,3.6,E,24,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225151,12549,JBS,CAS,Amphibia,Anura,Rhacophoridae,Rhacophorus,bipunctatus,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.1 N, 97 55 03.6 E",K.S. Lwin and S.N. Sin,24-Apr-02,Alc,J.A. Wilkinson,4-Dec-03,Adult,,,SVL 33.8 mm.,2137 hrs.  Air temp. 71.4 F.  84% relative humidity.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.1 N, 97 55 03.6 E",,2002,,,,27,24,37.1,N,97,55,3.6,E,24,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225152,12552,JBS,CAS,Amphibia,Anura,Rhacophoridae,Rhacophorus,bipunctatus,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.1 N, 97 55 03.6 E",K.S. Lwin and S.N. Sin,24-Apr-02,Alc,J.A. Wilkinson,4-Dec-03,Adult,,,,2137 hrs.  Air temp. 71.4 F.  84% relative humidity.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.1 N, 97 55 03.6 E",,2002,,,,27,24,37.1,N,97,55,3.6,E,24,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225153,12553,JBS,CAS,Amphibia,Anura,Ranidae,Rana,chloronota,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.1 N, 97 55 03.6 E",K.S. Lwin and S.N. Sin,24-Apr-02,Alc,G.O.U. Wogan,1-Jul-05,,,,,2137 hrs.  Air temp. 71.4 F.  84% relative humidity.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.1 N, 97 55 03.6 E",,2002,,,,27,24,37.1,N,97,55,3.6,E,24,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225154,12556,JBS,CAS,Amphibia,Anura,Rhacophoridae,Chirixalus,vittatus,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 34.4 N, 97 53 47.3 E","H. Win, T. Thin, Y. Ngai and T. Na",25-Apr-02,Alc,H. Win,14-Aug-02,Adult,,1809 ft,SVL 23.8 mm.,2210 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 34.4 N, 97 53 47.3 E, 1809 ft",,2002,1809,,ft,27,22,34.4,N,97,53,47.3,E,25,Apr,H. Win,Garmin 12 GPS,WGS84
225155,12561,JBS,CAS,Amphibia,Anura,Rhacophoridae,Chirixalus,vittatus,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 34.4 N, 97 53 47.3 E","H. Win, T. Thin, Y. Ngai and T. Na",25-Apr-02,Alc,H. Win,14-Aug-02,Adult,,1809 ft,SVL 25.1 mm.,2210 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 34.4 N, 97 53 47.3 E, 1809 ft",,2002,1809,,ft,27,22,34.4,N,97,53,47.3,E,25,Apr,H. Win,Garmin 12 GPS,WGS84
225156,12563,JBS,CAS,Amphibia,Anura,Rhacophoridae,Philautus,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 34.4 N, 97 53 47.3 E","H. Win, T. Thin, Y. Ngai and T. Na",25-Apr-02,Alc,H. Win,14-Aug-02,Adult,,1809 ft,SVL 22.2 mm.,2210 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 34.4 N, 97 53 47.3 E, 1809 ft",,2002,1809,,ft,27,22,34.4,N,97,53,47.3,E,25,Apr,H. Win,Garmin 12 GPS,WGS84
225157,13791,JBS,CAS,Reptilia,Serpentes,Typhlopidae,Ramphotyphlops,braminus,,,,Asia,Myanmar,Shan State,,,Taunggyi Dist.,"Nyaungshwe Township, Mine Thaung village, 20 34 39.8 N, 96 57 24.1 E","G.O.U. Wogan, K.S. Lwin and A.K. Shein",27-Jul-02,Alc,V. Wallach,24-Jan-03,,,3218 ft,,1914 hrs.  Air temp. 76.8 F.  72% relative humidity.,"Myanmar: Shan State: Taunggyi District: Nyaung Shwe Township, Mine Thaung village, 20 34 39.8 N, 96 57 24.1, 3218 ft",,2002,3218,,ft,20,34,39.8,N,96,57,24.1,E,27,Jul,K.S. Lwin,Garmin 12 GPS,WGS84
225158,12565,JBS,CAS,Amphibia,Anura,Ranidae,Rana,limnocharis,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 34.4 N, 97 53 47.3 E","H. Win, T. Thin, Y. Ngai and T. Na",25-Apr-02,Alc,H. Win,14-Aug-02,,,1809 ft,,2210 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 34.4 N, 97 53 47.3 E, 1809 ft",,2002,1809,,ft,27,22,34.4,N,97,53,47.3,E,25,Apr,H. Win,Garmin 12 GPS,WGS84
225159,12567,JBS,CAS,Amphibia,Anura,Rhacophoridae,Philautus,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 27.8 N, 97 53 49.9 E","H. Win, T. Thin, Y. Ngai and T. Na",25-Apr-02,Alc,H. Win,14-Aug-02,,,1740 ft,,2124 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 27.8 N, 97 53 49.9 E, 1740 ft",,2002,1740,,ft,27,22,27.8,N,97,53,49.9,E,25,Apr,H. Win,Garmin 12 GPS,WGS84
225160,12568,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 27.5 N, 97 53 31.4 E","K.S. Lwin, A.K. Shein and M. Kyaw",25-Apr-02,Alc,H. Win,14-Aug-02,,,1680 ft,SVL 19.8 mm.,2115 hrs.  Air temp. 72.5 F.  87% relative humidity.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 27.5 N, 97 53 31.4 E, 1680 ft",,2002,1680,,ft,27,22,27.5,N,97,53,31.4,E,25,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225161,12569,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 27.5 N, 97 53 31.4 E","K.S. Lwin, A.K. Shein and M. Kyaw",25-Apr-02,Alc,H. Win,14-Aug-02,,,1680 ft,SVL 17.4 mm.,2115 hrs.  Air temp. 72.5 F.  87% relative humidity.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 27.5 N, 97 53 31.4 E, 1680 ft",,2002,1680,,ft,27,22,27.5,N,97,53,31.4,E,25,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225162,12525,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 21.8 N, 97 53 35.0 E","K.S. Lwin, A.K. Shein and M. Kyaw",25-Apr-02,Alc,H. Win,14-Aug-02,,,,,2018 hrs.  Air temp. 75.8 F.  84% relative humidity.  In stream.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 21.8 N, 97 53 35.0 E",,2002,,,,27,22,21.8,N,97,53,35,E,25,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225163,12577,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 21.8 N, 97 53 35.0 E","K.S. Lwin, A.K. Shein and M. Kyaw",25-Apr-02,Alc,H. Win,14-Aug-02,,,,,2018 hrs.  Air temp. 75.8 F.  84% relative humidity.  In stream.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 21.8 N, 97 53 35.0 E",,2002,,,,27,22,21.8,N,97,53,35,E,25,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225164,12578,JBS,CAS,Amphibia,Anura,Ranidae,Limnonectes,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 21.8 N, 97 53 35.0 E","K.S. Lwin, A.K. Shein and M. Kyaw",25-Apr-02,Alc,G.O.U. Wogan,9-Apr-04,,,,,2018 hrs.  Air temp. 75.8 F.  84% relative humidity.  In stream.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 21.8 N, 97 53 35.0 E",,2002,,,,27,22,21.8,N,97,53,35,E,25,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225165,12579,JBS,CAS,Amphibia,Anura,Ranidae,Rana,limnocharis,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ba Bawt village, 27 22 21.8 N, 97 53 35.0 E","K.S. Lwin, A.K. Shein and M. Kyaw",25-Apr-02,Alc,H. Win,14-Aug-02,,,,,2018 hrs.  Air temp. 75.8 F.  84% relative humidity.  In stream.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ba Bawt village, 27 22 21.8 N, 97 53 35.0 E",,2002,,,,27,22,21.8,N,97,53,35,E,25,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225166,12591,JBS,CAS,Reptilia,Sauria,Scincidae,Sphenomorphus,maculatus,,,M,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 22 41.5 N, 97 53 07.9 E","K.S. Lwin, A.K. Shein and M. Kyaw",25-Apr-02,Alc,H. Win,14-Aug-02,Adult,,,,1140 hrs.  Air temp. 81.4 F.  70% relative humidity.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 22 41.5 N, 97 53 07.9 E",,2002,,,,27,22,41.5,N,97,53,7.9,E,25,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225167,12572,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 22 32.1 N, 97 53 16.6 E","K.S. Lwin, M. Kyaw and N. Sin",26-Apr-02,Alc,H. Win,14-Aug-02,,,1717 ft,,1305 hrs.  Air temp. 81.3 F.  69% relative humidity.  In stream.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 22 32.1 N, 97 53 16.6 E, 1717 ft",,2002,1717,,ft,27,22,32.1,N,97,53,16.6,E,26,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225168,12573,JBS,CAS,Amphibia,Anura,Ranidae,Rana,limnocharis,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 22 32.1 N, 97 53 16.6 E","K.S. Lwin, M. Kyaw and N. Sin",26-Apr-02,Alc,H. Win,14-Aug-02,,,1717 ft,,1305 hrs.  Air temp. 81.3 F.  69% relative humidity.  In stream.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 22 32.1 N, 97 53 16.6 E, 1717 ft",,2002,1717,,ft,27,22,32.1,N,97,53,16.6,E,26,Apr,K.S. Lwin,Garmin 12 GPS,WGS84
225169,12581,JBS,CAS,Amphibia,Anura,Ranidae,Amolops,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 23 02.9 N, 97 53 27.6 E","T. Thin, A.K. Shein and H. Ram",26-Apr-02,Alc,H. Win,14-Aug-02,Adult,,1745 ft,,1113 hrs.  Air temp. 78.5 F.  73% relative humidity.  Under rock on stream bank.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 23 02.9 N, 97 53 27.6 E, 1745 ft",,2002,1745,,ft,27,23,2.9,N,97,53,27.6,E,26,Apr,T. Thin,Garmin 12 GPS,WGS84
225170,12582,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 23 02.9 N, 97 53 27.6 E","T. Thin, A.K. Shein and H. Ram",26-Apr-02,Alc,H. Win,14-Aug-02,,,1745 ft,,1113 hrs.  Air temp. 78.5 F.  73% relative humidity.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 23 02.9 N, 97 53 27.6 E, 1745 ft",,2002,1745,,ft,27,23,2.9,N,97,53,27.6,E,26,Apr,T. Thin,Garmin 12 GPS,WGS84
225171,12584,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 23 02.9 N, 97 53 27.6 E","T. Thin, A.K. Shein and H. Ram",26-Apr-02,Alc,H. Win,14-Aug-02,,,1745 ft,SVL 34.5 mm.,1113 hrs.  Air temp. 78.5 F.  73% relative humidity.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 23 02.9 N, 97 53 27.6 E, 1745 ft",,2002,1745,,ft,27,23,2.9,N,97,53,27.6,E,26,Apr,T. Thin,Garmin 12 GPS,WGS84
225172,12585,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 23 02.9 N, 97 53 27.6 E","T. Thin, A.K. Shein and H. Ram",26-Apr-02,Alc,H. Win,14-Aug-02,,,1745 ft,SVL 32.3 mm.,1113 hrs.  Air temp. 78.5 F.  73% relative humidity.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 23 02.9 N, 97 53 27.6 E, 1745 ft",,2002,1745,,ft,27,23,2.9,N,97,53,27.6,E,26,Apr,T. Thin,Garmin 12 GPS,WGS84
225173,12587,JBS,CAS,Reptilia,Serpentes,Typhlopidae,Typhlops,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 22 04.8 N, 97 53 15.7 E","H. Win, Y.N.T. Na",26-Apr-02,Alc,H. Win,14-Aug-02,Adult,,1722 ft,"SVL 260 mm, total 264 mm, 10 gm.",1400 hrs.  Under log.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 22 04.8 N, 97 53 15.7 E, 1722 ft",,2002,1722,,ft,27,22,4.8,N,97,53,15.7,E,26,Apr,H. Win,Garmin 12 GPS,WGS84
225174,12588,JBS,CAS,Reptilia,Serpentes,Colubridae,Rhabdophis,himalayana,,,M,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 21 48.9 N, 97 53 27.9 E","H. Win, Y.N.T. Na",26-Apr-02,Alc,H. Win,14-Aug-02,J/A,,1665 ft,"SVL 470 mm, total 640 mm, 24 gm.",1320 hrs.  Under log in rice field.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 21 48.9 N, 97 53 27.9 E, 1665 ft",,2002,1665,,ft,27,21,48.9,N,97,53,27.9,E,26,Apr,H. Win,Garmin 12 GPS,WGS84
225175,12589,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 22 04.4 N, 97 53 30.5 E","H. Win, Y.N.T. Na",26-Apr-02,Alc,H. Win,14-Aug-02,,,1658 ft,SVL 99 mm.,1209 hrs.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 22 04.4 N, 97 53 30.5 E, 1658 ft",,2002,1658,,ft,27,22,4.4,N,97,53,30.5,E,26,Apr,H. Win,Garmin 12 GPS,WGS84
225176,12590,JBS,CAS,Amphibia,Anura,Ranidae,Rana,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagmung Township, Ba Bawt village, 27 22 04.4 N, 97 53 30.5 E","H. Win, Y.N.T. Na",26-Apr-02,Alc,H. Win,14-Aug-02,,,1658 ft,SVL 40.5 mm.,1209 hrs.,"Myanmar: Kachin State: Putao District: Nagmung Township: Ba Bawt village, 27 22 04.4 N, 97 53 30.5 E, 1658 ft",,2002,1658,,ft,27,22,4.4,N,97,53,30.5,E,26,Apr,H. Win,Garmin 12 GPS,WGS84
